t,x,y,z
2.439999999999999947e+00,-7.044070804159642485e+00,-6.576073666929261208e+00,2.594066896683902712e+01
2.450000000000000178e+00,-7.003300393051505424e+00,-6.662024145931026986e+00,2.571644509317395588e+01
2.459999999999999964e+00,-6.975222845805180150e+00,-6.761677812472126625e+00,2.550226649542367952e+01
2.470000000000000195e+00,-6.959984829988496990e+00,-6.874467927588951532e+00,2.529965255390287737e+01
2.479999999999999982e+00,-6.957641435455361290e+00,-6.999754245865999813e+00,2.511005649742218537e+01
2.490000000000000213e+00,-6.968156174345748077e+00,-7.136823015435923345e+00,2.493486540328813916e+01
2.500000000000000000e+00,-6.991400981085699406e+00,-7.284886977979478040e+00,2.477540019730323451e+01
2.510000000000000231e+00,-7.027156212387334122e+00,-7.443085368725574469e+00,2.463291565376587755e+01
2.520000000000000018e+00,-7.075110647248832763e+00,-7.610483916451225461e+00,2.450860039547042746e+01
2.530000000000000249e+00,-7.134861486954455323e+00,-7.786074843481601171e+00,2.440357689370715022e+01
2.540000000000000036e+00,-7.205914355074523492e+00,-7.968776865689971345e+00,2.431890146826226484e+01
2.550000000000000266e+00,-7.287668671243790364e+00,-8.157450959358488518e+00,2.425553720308516858e+01
2.560000000000000053e+00,-7.379049834017723519e+00,-8.351447255220852739e+00,2.421357240905521380e+01
2.569999999999999840e+00,-7.479667969804009608e+00,-8.549585537179590133e+00,2.419414154097955816e+01
2.580000000000000071e+00,-7.589348837660564229e+00,-8.750246060707493001e+00,2.419873465287504999e+01
2.589999999999999858e+00,-7.707733873785799439e+00,-8.951721665754742929e+00,2.422849943231343772e+01
2.600000000000000089e+00,-7.834280191518659286e+00,-9.152217776748972966e+00,2.428424120042138412e+01
2.609999999999999876e+00,-7.968260581338577175e+00,-9.349852402595196565e+00,2.436642291188044140e+01
2.620000000000000107e+00,-8.108763510865522051e+00,-9.542656136675882195e+00,2.447516515492706901e+01
2.629999999999999893e+00,-8.254693124859951325e+00,-9.728572156850878727e+00,2.461024615135263005e+01
2.640000000000000124e+00,-8.404769245222855290e+00,-9.905456225457486497e+00,2.477110175650339841e+01
2.649999999999999911e+00,-8.557527370995714477e+00,-1.007107668931039157e+01,2.495682545928052676e+01
2.660000000000000142e+00,-8.711318678360543188e+00,-1.022311447970172615e+01,2.516616838214010343e+01
2.669999999999999929e+00,-8.864310020639845078e+00,-1.035916311240101173e+01,2.539753928109308490e+01
2.680000000000000160e+00,-9.014483928296659343e+00,-1.047672868765521415e+01,2.564900454570537036e+01
2.689999999999999947e+00,-9.159638608934509207e+00,-1.057322989018869208e+01,2.591828819909771653e+01
2.700000000000000178e+00,-9.298239306251728564e+00,-1.064619922013376474e+01,2.620319509167542904e+01
2.709999999999999964e+00,-9.430045884898630604e+00,-1.069393217438590682e+01,2.650109363994575062e+01
2.720000000000000195e+00,-9.552811664273740178e+00,-1.071496761300307732e+01,2.680745024521388231e+01
2.729999999999999982e+00,-9.664425408557780983e+00,-1.070826937173798399e+01,2.711780016186374098e+01
2.740000000000000213e+00,-9.763036887554953580e+00,-1.067324578331183815e+01,2.742783297404035991e+01
2.750000000000000000e+00,-9.847056876692894534e+00,-1.060974967741434938e+01,2.773339259564974313e+01
2.760000000000000231e+00,-9.915157157022710166e+00,-1.051807838070372014e+01,2.803047727035900749e+01
2.770000000000000018e+00,-9.966270515218951687e+00,-1.039897371680666716e+01,2.831523957159625127e+01
2.780000000000000249e+00,-9.999590743579632957e+00,-1.025362200631838583e+01,2.858398640255067136e+01
